id_objects;name_type_object;name_objects;address;location;created_by;osm_id
127;Кафе;Лесное;;0101000020E6100000FA57A027AF014C409C7928C0665C4B40;1;1118609337
128;Кафе;Беседа;;0101000020E6100000D8D248F02B014C402C9D0FCF125C4B40;1;4868140523
129;Кафе;Coffee Like;;0101000020E61000000E4DD9E907014C400B7BDAE1AF5B4B40;1;6536734335
130;Кафе;Coffee Like;;0101000020E6100000B134F0A31A004C407DCF4884465C4B40;1;6536734337
131;Кафе;Green Wood;;0101000020E6100000D67BE01923004C405A1B199AA15B4B40;1;12196372856
132;Кафе;Cafe for friends;;0101000020E6100000D95C35CF11014C400DCDD0D3DB5B4B40;1;12430098375
133;Кафе;Мама варит кофе;;0101000020E6100000088ECBB8A9004C40F96E4E80BC5B4B40;1;13611831928
134;Кафе;Молния;;0101000020E61000004AFC9B61B4F74B40DCDD5E2DD25D4B40;1;9077496517
135;Кафе;Мамавариткофе;;0101000020E6100000FB33CD85DBF74B4025F95B4C7D5D4B40;1;10037395838
136;Кафе;Баракат;;0101000020E61000003C0675DBCFF74B40B3AD0BE47E5D4B40;1;10037395840
137;Кафе;Тет-а-тет;;0101000020E6100000D00E13680BF84B40939A2CA4B25D4B40;1;10037395900
138;Кафе;Omma;;0101000020E61000000F2FE301C0F84B4054ED89647E5D4B40;1;10095822502
139;Кафе;Бэхэт;;0101000020E61000003CD862B7CFF84B402BD43F2DAB5D4B40;1;10846682015
140;Кафе;Плов №1;;0101000020E610000047F7BD970CF94B409F50F4650E5E4B40;1;11478297461
141;Кафе;Старый Баку;;0101000020E610000025E07C8F9FF84B4072B0EDA3095E4B40;1;11572366532
142;Кафе;Ризк;;0101000020E610000054FEB5BC72F84B40FAE5DDA2DD5D4B40;1;11747572262
143;Кафе;Gusto;;0101000020E61000004E6958E773F84B40EDE9341CE05D4B40;1;11963135120
144;Кафе;Buffet;;0101000020E610000090CF752B95F94B401B0E4B033F5E4B40;1;12125801930
145;Кафе;Чайхана 24;;0101000020E610000020F69DBA4DF94B400C14C2B4B95F4B40;1;12911707101
146;Кафе;Халяль;Рабочая улица 63;0101000020E6100000AC6CC43824F54B40E9167085665F4B40;1;697074642
147;Кафе;Камароб;;0101000020E6100000A0D4A8D1F5F74B4061DD1DBEF1614B40;1;885115177
148;Кафе;Баба Яга;;0101000020E610000069F68AB84AFC4B408ABAC5B24F5E4B40;1;1140501271
149;Кафе;Караван;;0101000020E61000006342CC2555FF4B406B459BE3DC604B40;1;1559516113
150;Кафе;Улыбка;;0101000020E61000004594409479FD4B404ABB2C81EF5D4B40;1;1986818408
